expiry_code,strike,cp,oi,data_date
202608F1,44000,C,79,2026-08-05
202608F2,44000,C,5,2026-08-05
202608F2,44000,P,2,2026-08-05
202608F1,44000,P,383,2026-08-05
202608F1,44050,C,8,2026-08-05
202608F2,44050,C,10,2026-08-05
202608F2,44050,P,0,2026-08-05
202608F1,44050,P,5,2026-08-05
202608F1,44100,C,18,2026-08-05
202608F2,44100,C,10,2026-08-05
202608F1,44100,P,27,2026-08-05
202608F2,44100,P,0,2026-08-05
202608F1,44150,C,5,2026-08-05
202608F2,44150,C,10,2026-08-05
202608F2,44150,P,0,2026-08-05
202608F1,44150,P,16,2026-08-05
202608F1,44200,C,19,2026-08-05
202608F2,44200,C,0,2026-08-05
202608F1,44200,P,146,2026-08-05
202608F2,44200,P,1,2026-08-05
202608F2,44250,C,5,2026-08-05
202608F1,44250,C,14,2026-08-05
202608F1,44250,P,15,2026-08-05
202608F2,44250,P,2,2026-08-05
202608F1,44300,C,31,2026-08-05
202608F2,44300,C,5,2026-08-05
202608F1,44300,P,42,2026-08-05
202608F2,44300,P,0,2026-08-05
202608F2,44350,C,5,2026-08-05
202608F1,44350,C,10,2026-08-05
202608F1,44350,P,148,2026-08-05
202608F2,44350,P,0,2026-08-05
202608F1,44400,C,109,2026-08-05
202608F2,44400,C,0,2026-08-05
202608F1,44400,P,116,2026-08-05
202608F2,44400,P,0,2026-08-05
202608F2,44450,C,4,2026-08-05
202608F1,44450,C,79,2026-08-05
202608F1,44450,P,55,2026-08-05
202608F2,44450,P,0,2026-08-05
202608F1,44500,C,325,2026-08-05
202608F2,44500,C,0,2026-08-05
202608F1,44500,P,238,2026-08-05
202608F2,44500,P,0,2026-08-05
202608F1,44550,C,24,2026-08-05
202608F2,44550,C,0,2026-08-05
202608F2,44550,P,0,2026-08-05
202608F1,44550,P,22,2026-08-05
202608F1,44600,C,220,2026-08-05
202608F2,44600,C,3,2026-08-05
202608F1,44600,P,42,2026-08-05
202608F2,44600,P,0,2026-08-05
202608F1,44650,C,64,2026-08-05
202608F2,44650,C,0,2026-08-05
202608F2,44650,P,0,2026-08-05
202608F1,44650,P,42,2026-08-05
202608F2,44700,C,4,2026-08-05
202608F1,44700,C,112,2026-08-05
202608F1,44700,P,56,2026-08-05
202608F2,44700,P,0,2026-08-05
202608F1,44750,C,52,2026-08-05
202608F1,44750,P,0,2026-08-05
202608F1,44800,C,137,2026-08-05
